symbol,date,price
MSFT,Apr 2009,21.45
MSFT,May 2009,21.53
MSFT,Jun 2009,23.44
MSFT,Jul 2009,23.38
MSFT,Aug 2009,22.47
MSFT,Sep 2009,22.76
MSFT,Oct 2009,23.02
MSFT,Nov 2009,24.6
MSFT,Dec 2009,24.52
MSFT,Jan 2010,24.11
MSFT,Feb 2010,23.15
MSFT,Mar 2010,22.24
MSFT,Apr 2010,23.28
MSFT,May 2010,23.82
MSFT,Jun 2010,22.93
MSFT,Jul 2010,23.64
MSFT,Aug 2010,25.35
MSFT,Sep 2010,23.83
MSFT,Oct 2010,23.8
MSFT,Nov 2010,25.71
MSFT,Dec 2010,24.29
MSFT,Jan 2011,26.14
MSFT,Feb 2011,25.04
MSFT,Mar 2011,25.36
MSFT,Apr 2011,22.5
MSFT,May 2011,21.19
MSFT,Jun 2011,21.8
MSFT,Jul 2011,22.51
MSFT,Aug 2011,24.13
MSFT,Sep 2011,25.68
MSFT,Oct 2011,26.96
MSFT,Nov 2011,27.66
MSFT,Dec 2011,28.13
MSFT,Jan 2012,29.07
MSFT,Feb 2012,26.63
MSFT,Mar 2012,26.35
MSFT,Apr 2012,28.3
MSFT,May 2012,29.11
MSFT,Jun 2012,27.95
MSFT,Jul 2012,27.5
MSFT,Aug 2012,27.34
MSFT,Sep 2012,28.04
MSFT,Oct 2012,35.03
MSFT,Nov 2012,32.09
MSFT,Dec 2012,34
MSFT,Jan 2013,31.13
MSFT,Feb 2013,26.07
MSFT,Mar 2013,27.21
MSFT,Apr 2013,27.34
MSFT,May 2013,27.25
MSFT,Jun 2013,26.47
MSFT,Jul 2013,24.75
MSFT,Aug 2013,26.36
MSFT,Sep 2013,25.78
MSFT,Oct 2013,21.57
MSFT,Nov 2013,19.66
MSFT,Dec 2013,18.91
MSFT,Jan 2014,16.63
MSFT,Feb 2014,15.81
MSFT,Mar 2014,17.99
MSFT,Apr 2014,19.84
MSFT,May 2014,20.59
MSFT,Jun 2014,23.42
MSFT,Jul 2014,23.18
MSFT,Aug 2014,24.43
MSFT,Sep 2014,25.49
MSFT,Oct 2014,27.48
MSFT,Nov 2014,29.27
MSFT,Dec 2014,30.34
MSFT,Jan 2015,28.05
MSFT,Feb 2015,28.67
MSFT,Mar 2015,28.8
AMZN,Jan 2005,64.56
AMZN,Feb 2005,68.87
AMZN,Mar 2005,67
AMZN,Apr 2005,55.19
AMZN,May 2005,48.31
AMZN,Jun 2005,36.31
AMZN,Jul 2005,30.12
AMZN,Aug 2005,41.5
AMZN,Sep 2005,38.44
AMZN,Oct 2005,36.62
AMZN,Nov 2005,24.69
AMZN,Dec 2005,15.56
AMZN,Jan 2006,17.31
AMZN,Feb 2006,10.19
AMZN,Mar 2006,10.23
AMZN,Apr 2006,15.78
AMZN,May 2006,16.69
AMZN,Jun 2006,14.15
AMZN,Jul 2006,12.49
AMZN,Aug 2006,8.94
AMZN,Sep 2006,5.97
AMZN,Oct 2006,6.98
AMZN,Nov 2006,11.32
AMZN,Dec 2006,10.82
AMZN,Jan 2007,14.19
AMZN,Feb 2007,14.1
AMZN,Mar 2007,14.3
AMZN,Apr 2007,16.69
AMZN,May 2007,18.23
AMZN,Jun 2007,16.25
AMZN,Jul 2007,14.45
AMZN,Aug 2007,14.94
AMZN,Sep 2007,15.93
AMZN,Oct 2007,19.36
AMZN,Nov 2007,23.35
AMZN,Dec 2007,18.89
AMZN,Jan 2008,21.85
AMZN,Feb 2008,22.01
AMZN,Mar 2008,26.03
AMZN,Apr 2008,28.69
AMZN,May 2008,35.89
AMZN,Jun 2008,36.32
AMZN,Jul 2008,41.64
AMZN,Aug 2008,46.32
AMZN,Sep 2008,48.43
AMZN,Oct 2008,54.43
AMZN,Nov 2008,53.97
AMZN,Dec 2008,52.62
AMZN,Jan 2009,50.4
AMZN,Feb 2009,43.01
AMZN,Mar 2009,43.28
AMZN,Apr 2009,43.6
AMZN,May 2009,48.5
AMZN,Jun 2009,54.4
AMZN,Jul 2009,38.92
AMZN,Aug 2009,38.14
AMZN,Sep 2009,40.86
AMZN,Oct 2009,34.13
AMZN,Nov 2009,39.68
AMZN,Dec 2009,44.29
AMZN,Jan 2010,43.22
AMZN,Feb 2010,35.18
AMZN,Mar 2010,34.27
AMZN,Apr 2010,32.36
AMZN,May 2010,35.51
AMZN,Jun 2010,33.09
AMZN,Jul 2010,45.15
AMZN,Aug 2010,42.7
AMZN,Sep 2010,45.3
AMZN,Oct 2010,39.86
AMZN,Nov 2010,48.46
AMZN,Dec 2010,47.15
AMZN,Jan 2011,44.82
AMZN,Feb 2011,37.44
AMZN,Mar 2011,36.53
AMZN,Apr 2011,35.21
AMZN,May 2011,34.61
AMZN,Jun 2011,38.68
AMZN,Jul 2011,26.89
AMZN,Aug 2011,30.83
AMZN,Sep 2011,32.12
AMZN,Oct 2011,38.09
AMZN,Nov 2011,40.34
AMZN,Dec 2011,39.46
AMZN,Jan 2012,37.67
AMZN,Feb 2012,39.14
AMZN,Mar 2012,39.79
AMZN,Apr 2012,61.33
AMZN,May 2012,69.14
AMZN,Jun 2012,68.41
AMZN,Jul 2012,78.54
AMZN,Aug 2012,79.91
AMZN,Sep 2012,93.15
AMZN,Oct 2012,89.15
AMZN,Nov 2012,90.56
AMZN,Dec 2012,92.64
AMZN,Jan 2013,77.7
